,Artist,Song,Popular
0,Yung Bleu, Life Worth Living,0
1,Yung Bleu,Everytime I Blink,0
2,Yung Bleu,Good,0
3,Yung Bleu,Come By At 12,0
4,Yung Bleu,"No, I'm Not Ok",0
5,Yung Bleu,Magical,0
6,Yung Bleu,Xpill { Official Video ),0
7,OneRepublic,10 Years Of ONEREPUBLIC,0
8,OneRepublic,Rescue Me,0
9,OneRepublic,Sunshine,0
10,OneRepublic,Someday,0
11,OneRepublic,Apologize,0
12,OneRepublic,Wild Life,0
13,OneRepublic,I Ain’t Worried,0
14,DJ Khaled,TSKMN,0
15,DJ Khaled,The Album Experience,0
16,DJ Khaled,AALAM WAS BORN THEN 2 HOURS LATER I WAS IN THE STUDIO WITH DRAKE !,0
17,DJ Khaled,Juice WRLD DID,0
18,DJ Khaled,BODY IN MOTION,0
19,DJ Khaled,Wish Wish,0
20,DJ Khaled,POPSTAR SINGLE COVER SHOOT,0
21,Latto,Toya Turnup Talks,0
22,Latto,FTCU,0
23,Latto,It's Givin,0
24,Latto,Stank,0
25,Latto,Bussdown,0
26,Latto,Real One,0
27,Latto,In n Out,0
28,Jhay Cortez,Los Rompediskoteca,0
29,Jhay Cortez,Subiendo De Nivel,0
30,Jhay Cortez,¿Cuánto E$?,0
31,Jhay Cortez,Mami Chula,0
32,Jhay Cortez,Easy,0
33,Jhay Cortez,The Making Of 'En La De Ella',0
34,Jhay Cortez,Apaga Las Luces,0
35,Parmalee,Roots,0
36,Parmalee,Matt's Jeep Renegade,0
37,Parmalee,ALREADY CALLIN' YOU MINE,0
38,Parmalee,FOR YOU Available Now,0
39,Parmalee,SUNDAY BEST,0
40,Parmalee,Drops Of Jupiter,0
41,Parmalee,Barrel of a Shot Glass,0
42,Rhenzy Feliz,The Slow Mo Guys,0
43,Rhenzy Feliz,Cracked,0
44,Rhenzy Feliz,WatchMojo.com,0
45,Rhenzy Feliz,Gyvi World,0
46,Rhenzy Feliz,J P Education,0
47,Rhenzy Feliz,FORMULA 1,0
48,Rhenzy Feliz,AskMen,0
49,Maren Morris,Hummingbird,0
50,Maren Morris,Takes Two,0
51,Maren Morris,Just for Now,0
52,Maren Morris,Better Than We Found It,0
